Brand,cluster,Listing Price,Sale Price,Discount,Rating,Reviews,Brand_Encoded
Adidas SPORT PERFORMANCE,1,7999,3999,50,3.1,89,3
Adidas SPORT PERFORMANCE,1,7999,3999,50,2.8,53,3
Adidas CORE / NEO,1,5599,2799,50,1.5,66,1
Adidas CORE / NEO,1,5999,2999,50,4.7,24,1
Adidas CORE / NEO,1,5999,2999,50,5.0,10,1
Adidas CORE / NEO,1,3999,3999,0,2.8,1,1
Adidas CORE / NEO,1,4599,4599,0,4.0,60,1
Adidas SPORT PERFORMANCE,1,7999,3999,50,4.5,47,3
Adidas CORE / NEO,1,6999,3499,50,2.7,98,1
Adidas CORE / NEO,1,5999,5999,0,3.8,35,1
Adidas ORIGINALS,0,11999,5999,50,3.5,50,2
Adidas CORE / NEO,1,5599,5599,0,2.4,47,1
Adidas CORE / NEO,1,4599,4599,0,4.1,67,1
Adidas CORE / NEO,1,3999,3999,0,3.5,59,1
Adidas CORE / NEO,1,4599,4599,0,2.7,54,1
Adidas ORIGINALS,1,3599,3599,0,3.8,25,2
Adidas CORE / NEO,1,3999,3999,0,4.4,92,1
Adidas CORE / NEO,1,3999,3999,0,3.1,53,1
Adidas CORE / NEO,1,3999,3999,0,4.1,57,1
Adidas ORIGINALS,1,3599,3599,0,4.1,22,2
Adidas CORE / NEO,1,3999,3999,0,3.8,22,1
Adidas ORIGINALS,0,12999,7799,40,1.0,76,2
Adidas ORIGINALS,1,7999,4799,40,1.5,85,2
Adidas ORIGINALS,0,12999,7799,40,4.7,60,2
Adidas CORE / NEO,1,5599,5599,0,4.0,61,1
Adidas ORIGINALS,1,7999,4799,40,2.6,68,2
Adidas CORE / NEO,1,2999,2999,0,3.0,63,1
Adidas CORE / NEO,1,5599,5599,0,3.0,34,1
Adidas CORE / NEO,1,5599,5599,0,5.0,58,1
Adidas CORE / NEO,1,5599,5599,0,4.5,61,1
Adidas CORE / NEO,1,5599,5599,0,3.3,57,1
Adidas CORE / NEO,1,5599,5599,0,3.9,41,1
Adidas CORE / NEO,1,5599,5599,0,3.2,82,1
Adidas CORE / NEO,1,1299,649,50,4.2,84,1
Adidas CORE / NEO,1,1499,749,50,3.8,75,1
Adidas CORE / NEO,1,1999,999,50,4.4,83,1
Adidas CORE / NEO,0,7999,7999,0,2.9,12,1
Adidas CORE / NEO,1,5999,5999,0,3.7,8,1
Adidas CORE / NEO,1,1299,649,50,4.2,69,1
Adidas CORE / NEO,1,6999,6999,0,2.2,61,1
Adidas CORE / NEO,1,1999,999,50,4.8,31,1
Adidas ORIGINALS,0,7999,7999,0,2.9,38,2
Adidas CORE / NEO,1,4599,4599,0,2.5,73,1
Adidas CORE / NEO,1,5999,5999,0,3.1,99,1
Adidas ORIGINALS,1,5999,3599,40,0.0,26,2
Adidas ORIGINALS,1,7999,4799,40,3.0,63,2
Adidas ORIGINALS,1,5999,3599,40,3.9,5,2
Adidas ORIGINALS,1,5599,3359,40,2.8,1,2
Adidas CORE / NEO,1,2499,2499,0,3.0,24,1
Adidas CORE / NEO,1,4999,4999,0,4.4,47,1
Adidas CORE / NEO,1,4599,4599,0,3.4,33,1
Adidas CORE / NEO,1,4999,4999,0,2.6,61,1
Adidas SPORT PERFORMANCE,1,7999,4799,40,4.4,0,3
Adidas CORE / NEO,1,4999,2999,40,4.0,50,1
Adidas SPORT PERFORMANCE,0,12999,7799,40,3.9,20,3
Adidas CORE / NEO,1,4999,4999,0,4.3,70,1
Adidas CORE / NEO,1,4999,2999,40,4.9,98,1
Adidas CORE / NEO,1,3299,3299,0,4.7,88,1
Adidas CORE / NEO,1,5999,3599,40,4.2,51,1
Adidas SPORT PERFORMANCE,0,12999,7799,40,2.0,69,3
Adidas CORE / NEO,1,5999,5999,0,3.6,39,1
Adidas CORE / NEO,1,4299,4299,0,3.1,16,1
Adidas CORE / NEO,1,4299,4299,0,4.6,94,1
Adidas CORE / NEO,1,4299,4299,0,4.1,80,1
Adidas CORE / NEO,1,5299,5299,0,4.6,26,1
Adidas SPORT PERFORMANCE,0,10999,6599,40,2.0,62,3
Adidas SPORT PERFORMANCE,0,10999,6599,40,2.7,91,3
Adidas SPORT PERFORMANCE,1,6999,4199,40,4.4,93,3
Adidas SPORT PERFORMANCE,1,7999,4799,40,4.2,92,3
Adidas CORE / NEO,1,5299,5299,0,3.0,7,1
Adidas CORE / NEO,1,5299,5299,0,4.1,88,1
Adidas SPORT PERFORMANCE,1,6999,4199,40,3.2,32,3
Adidas CORE / NEO,1,4999,4999,0,4.5,28,1
Adidas CORE / NEO,1,2499,2499,0,2.8,59,1
Adidas SPORT PERFORMANCE,0,14999,8999,40,4.9,21,3
Adidas CORE / NEO,1,4599,3219,30,3.0,67,1
Adidas CORE / NEO,1,2699,2699,0,2.9,9,1
Adidas SPORT PERFORMANCE,1,8999,5399,40,3.5,22,3
Adidas CORE / NEO,1,5599,5599,0,2.5,0,1
Adidas SPORT PERFORMANCE,1,7599,4559,40,4.6,26,3
Adidas CORE / NEO,1,5999,5999,0,4.9,13,1
Adidas CORE / NEO,1,5999,5999,0,0.0,93,1
Adidas SPORT PERFORMANCE,1,7999,4799,40,2.2,72,3
Adidas ORIGINALS,1,6999,6999,0,3.0,75,2
Adidas SPORT PERFORMANCE,1,7599,4559,40,2.9,67,3
Adidas ORIGINALS,0,7999,7999,0,4.8,67,2
Adidas ORIGINALS,0,7999,7999,0,2.7,31,2
Adidas SPORT PERFORMANCE,1,7599,4559,40,3.0,65,3
Adidas CORE / NEO,1,4599,2759,40,1.5,79,1
Adidas CORE / NEO,1,5999,2400,60,3.5,23,1
Adidas ORIGINALS,0,7999,7999,0,3.3,58,2
Adidas ORIGINALS,0,10999,4400,60,4.1,91,2
Adidas ORIGINALS,1,5999,5999,0,2.2,97,2
Adidas CORE / NEO,1,4599,4599,0,4.2,22,1
Adidas ORIGINALS,0,10999,10999,0,2.5,92,2
Adidas CORE / NEO,1,2299,2299,0,4.6,17,1
Adidas ORIGINALS,0,7999,7999,0,3.0,48,2
Adidas ORIGINALS,0,7999,7999,0,3.0,25,2
Adidas ORIGINALS,0,7599,7599,0,2.9,98,2
Adidas CORE / NEO,1,4999,4999,0,3.0,15,1
Adidas ORIGINALS,1,4599,2759,40,2.4,74,2
Adidas CORE / NEO,1,4599,4599,0,3.0,10,1
Adidas ORIGINALS,0,7999,7999,0,3.2,96,2
Adidas CORE / NEO,1,4999,4999,0,2.5,90,1
Adidas ORIGINALS,0,7599,7599,0,3.2,91,2
Adidas SPORT PERFORMANCE,1,8999,5399,40,3.6,55,3
Adidas ORIGINALS,0,7599,7599,0,2.0,54,2
Adidas ORIGINALS,0,7999,7999,0,4.7,97,2
Adidas CORE / NEO,1,3999,2799,30,3.7,87,1
Adidas CORE / NEO,1,4999,4999,0,2.5,83,1
Adidas CORE / NEO,1,4599,4599,0,2.4,37,1
Adidas SPORT PERFORMANCE,1,2499,1499,40,3.5,32,3
Adidas ORIGINALS,0,7999,7999,0,4.4,42,2
Adidas ORIGINALS,0,7999,7999,0,1.0,10,2
Adidas ORIGINALS,0,7999,7999,0,3.8,51,2
Adidas ORIGINALS,0,7599,7599,0,3.9,79,2
Adidas ORIGINALS,1,7599,3799,50,1.0,74,2
Adidas SPORT PERFORMANCE,0,13999,9799,30,3.7,57,3
Adidas SPORT PERFORMANCE,0,9999,5999,40,3.9,78,3
Adidas CORE / NEO,1,4599,2759,40,4.1,96,1
Adidas CORE / NEO,1,6999,3499,50,3.6,27,1
Adidas SPORT PERFORMANCE,1,7999,4799,40,4.7,29,3
Adidas SPORT PERFORMANCE,0,13999,9799,30,1.5,81,3
Adidas CORE / NEO,1,4599,2759,40,4.9,5,1
Adidas CORE / NEO,1,1799,1799,0,3.4,2,1
Adidas ORIGINALS,1,7999,3999,50,3.5,30,2
Adidas CORE / NEO,1,4799,2399,50,2.4,83,1
Adidas ORIGINALS,0,7999,7999,0,3.7,74,2
Adidas SPORT PERFORMANCE,0,9999,5999,40,3.8,9,3
Adidas ORIGINALS,0,7999,7999,0,2.4,50,2
Adidas CORE / NEO,1,5999,3599,40,2.2,24,1
Adidas ORIGINALS,1,7999,4799,40,4.4,45,2
Adidas ORIGINALS,0,11999,11999,0,2.9,43,2
Adidas ORIGINALS,0,8999,8999,0,3.3,70,2
Adidas ORIGINALS,1,5599,2799,50,3.9,84,2
Adidas ORIGINALS,1,5999,2999,50,3.4,97,2
Adidas ORIGINALS,1,7599,3799,50,1.0,64,2
